id,rest_url,place,center_lat,center_long,center_zoom,name,type,web,address
1,https://maps.lacity.org/arcgis/rest/services/Mapping/NavigateLA/MapServer,"Los Angeles NavigateLA",34.049039,-118.246521,17,"Los Angeles NavigateLA",service,NULL,NULL
2,https://dcgis.maps.arcgis.com,"Washington DC",38.906860,-77.027505,12,"Washington DC",web,NULL,NULL
3,https://maps.lacity.org/lahub/rest/services/Maps_and_Indices/MapServer,"Los Angeles LAhub Maps Indices",34.049039,-118.246521,11,"Los Angeles LAhub Maps Indices",service,NULL,NULL
4,https://services2.arcgis.com/zNjnZafDYCAJAbN0/ArcGIS/rest/services,Pasadena,34.145795,-118.142841,17,Pasadena,folder,NULL,NULL
5,https://public.gis.lacounty.gov/public/rest/services/LACounty_Dynamic/Political_Boundaries/MapServer,"Los Angeles County Political",34.049039,-118.246521,10,"Los Angeles County Political",service,NULL,NULL
6,https://maps.lacity.org/lahub/rest/services,"Los Angeles City LAhub",34.049039,-118.246521,17,"Los Angeles City LAhub",folder,NULL,NULL
7,https://public.gis.lacounty.gov/public/rest/services,"Los Angeles County",34.049039,-118.246521,17,"Los Angeles County",folder,NULL,NULL
8,https://maps.lacity.org/arcgis/rest/services,"Los Angeles City Maps NavigateLA",34.049039,-118.246521,18,"Los Angeles City Maps NavigateLA",folder,NULL,NULL
9,https://assessor.gis.lacounty.gov/assessor/rest/services/PAIS/pais_parcels/MapServer,"Los Angeles County Assessor",34.049039,-118.246521,17,"Los Angeles County Assessor",service,NULL,NULL
10,https://data.seattle.gov/resource,Seattle,47.612589,-122.335788,17,Seattle,domain,NULL,NULL
11,https://data.lacity.org/resource,"Los Angeles",34.049039,-118.246521,17,"Los Angeles",domain,NULL,NULL
12,https://data.cityofchicago.org/resource,Chicago,41.876509,-87.629909,18,Chicago,domain,NULL,NULL
13,https://data.cityofnewyork.us/resource,"New York-socrata",40.703603,-74.012224,17,"New York-socrata",domain,NULL,NULL
14,https://gisrevprxy.seattle.gov/arcgis/rest/services/ext/WM_CityGISLayers/MapServer,Seattle,47.612589,-122.335788,17,Seattle,folder,NULL,NULL
15,https://gisservices.its.ny.gov/arcgis/rest/services,"New York State",40.703603,-73.994256,17,"New York State",folder,NULL,NULL
16,https://gisservices.its.ny.gov/arcgis/rest/services/NYS_Tax_Parcels_Public/MapServer,"New York State NYS_Tax_Parcels_Public",40.703603,-73.994256,17,"New York State NYS_Tax_Parcels_Public",service,NULL,NULL
17,https://gis3.dot.ny.gov/ArcGIS/rest/services/Basemap/MapServer,"New York State Transportation",40.703603,-73.994256,15,"New York State Transportation",folder,NULL,NULL
18,https://gisservices.its.ny.gov/arcgis/rest/services/NYS_Assembly_Districts/MapServer,"New York State_Assembly_Districts",40.703603,-73.994256,11,"New York State_Assembly_Districts",service,NULL,NULL
19,https://gisservices.its.ny.gov/arcgis/rest/services/NYS_Congressional_Districts/MapServer,"New York State_Congressional_Districts",40.703603,-73.994256,11,"New York State_Congressional_Districts",service,NULL,NULL
20,https://gisservices.its.ny.gov/arcgis/rest/services/NYS_Senate_Districts/MapServer,"New York State_Senate_Districts",40.703603,-73.994256,11,"New York State_Senate_Districts",service,NULL,NULL
21,https://gisservices.its.ny.gov/arcgis/rest/services/NYS_Place_Points/MapServer,"New York State_Place_Points",40.703603,-73.994256,15,"New York State_Place_Points",service,NULL,NULL
22,https://gisservices.its.ny.gov/arcgis/rest/services/SAM_Address_Points/MapServer,"New York State_Address_Points",40.703603,-73.994256,17,"New York State_Address_Points",service,NULL,NULL
23,https://gisservices.its.ny.gov/arcgis/rest/services/NYS_Streets/MapServer,"New York State_Streets ",40.703603,-73.994256,17,"New York State_Streets ",service,NULL,NULL
24,https://gisservices.its.ny.gov/arcgis/rest/services/NYS_Civil_Boundaries/MapServer,"New York State_Civil_Boundaries",40.703603,-73.994256,11,"New York State_Civil_Boundaries",service,NULL,NULL
25,https://cohegis.houstontx.gov/cohgispub/rest/services,Houston,29.756241,-95.367312,17,Houston,folder,NULL,NULL
26,https://data.sfgov.org/resource,"San Francisco socrata",37.804427,-122.410632,17,"San Francisco socrata",domain,NULL,NULL
27,https://gis-webpub.sonoma-county.org/arcgis/rest/services,"Sonoma County basemap",38.440976,-122.715339,17,"Sonoma County basemap",folder,NULL,NULL
28,https://maps2.dcgis.dc.gov/dcgis/rest/services,"Washington DC",38.907292,-77.036420,17,"Washington DC",folder,NULL,NULL
29,https://gismaps.kingcounty.gov/arcgis/rest/services,"King County ",47.612589,-122.335788,17,"King County ",folder,NULL,NULL
30,https://gis.water.ca.gov/arcgis/rest/services,"California State Department of Water Resource arcgis",34.049039,-118.246521,10,"California State Department of Water Resource arcgis",folder,NULL,NULL
